student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
1,17,male,diploma,0.3448275862068965,0.889455782312925,yes,0.5689655172413793,poor,coaching,low,hard,58.9
2,23,other,bca,0.42017879948914433,0.41156462585034004,yes,0.08620689655172409,average,online videos,medium,moderate,54.8
3,22,male,b.sc,0.996168582375479,0.6156462585034013,yes,0.7586206896551725,poor,coaching,high,moderate,90.3
4,20,other,diploma,0.07535121328224778,0.13265306122448972,yes,0.2931034482758621,average,online videos,low,moderate,29.7
5,20,female,diploma,0.10344827586206898,0.5272108843537413,yes,0.9827586206896554,poor,coaching,low,moderate,43.7
6,23,male,b.tech,0.43422733077905495,0.4217687074829932,yes,0.017241379310344973,good,mixed,low,moderate,58.2
7,17,female,b.tech,0.16219667943805877,0.48299319727891143,yes,0.5689655172413793,average,online videos,high,hard,53.7
8,22,male,b.sc,0.6896551724137931,0.1785714285714285,yes,0.7068965517241378,poor,self-study,low,moderate,47.3
9,18,other,bca,0.3588761174968072,0.8741496598639453,yes,0.43103448275862066,poor,self-study,low,easy,44.9
10,17,male,bba,0.8544061302681991,0.07142857142857129,yes,0.9827586206896554,average,group study,high,moderate,77.7
11,21,female,ba,0.7547892720306514,0.7874149659863945,yes,0.2931034482758621,average,self-study,medium,easy,63.2
12,24,male,b.com,0.471264367816092,0.9523809523809521,no,0.0,poor,online videos,medium,easy,53.5
13,22,female,ba,0.8531289910600255,0.09863945578231281,yes,0.689655172413793,good,self-study,medium,hard,63.9
14,23,female,bba,0.09323116219667946,0.4319727891156462,yes,0.5172413793103449,poor,online videos,medium,moderate,34.1
15,22,male,b.tech,0.5836526181353767,0.5867346938775508,yes,0.6206896551724138,good,group study,high,moderate,83.5
16,23,other,bba,0.6079182630906769,1.0,yes,0.5517241379310344,average,coaching,high,moderate,98.5
17,21,male,b.sc,0.24137931034482762,0.8724489795918366,yes,0.724137931034483,average,self-study,medium,moderate,70.3
18,18,male,bca,0.04086845466155811,0.41326530612244894,yes,0.4655172413793104,poor,self-study,medium,moderate,32.3
19,23,female,b.sc,0.5363984674329502,0.9778911564625847,yes,0.051724137931034586,average,mixed,low,moderate,56.2
20,20,male,b.tech,0.5146871008939975,0.3282312925170068,yes,0.034482758620689724,poor,coaching,high,moderate,49.3
21,21,female,ba,0.6577266922094509,0.33673469387755084,yes,0.017241379310344973,poor,coaching,medium,easy,68.1
22,19,other,ba,0.20689655172413793,0.5068027210884354,yes,0.9827586206896554,good,mixed,low,easy,52.1
