student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
12946,24,male,b.sc,0.51,98.7,yes,6.3,poor,group study,medium,moderate,40.3
1356,20,other,bba,3.04,42.0,yes,8.9,poor,coaching,low,moderate,47.6
13798,21,other,bca,3.86,97.6,yes,5.5,average,coaching,high,moderate,88.1
14040,21,female,bba,4.55,77.8,yes,7.4,average,group study,low,hard,63.6
13153,18,male,b.sc,5.44,91.1,no,4.9,poor,coaching,medium,moderate,66.1
14828,21,male,b.com,4.83,66.5,yes,4.2,good,mixed,high,easy,75.2
11343,21,other,b.tech,2.56,65.0,no,4.8,average,group study,high,easy,49.9
2054,24,male,bca,7.91,58.0,yes,7.5,poor,online videos,high,easy,70.5
4100,19,other,diploma,2.41,41.8,yes,7.5,average,coaching,medium,moderate,57.7
9684,20,female,b.sc,5.23,94.5,yes,4.1,poor,self-study,high,moderate,56.6
388,23,female,bba,4.11,49.2,yes,7.8,average,group study,medium,easy,67.0
17239,23,male,b.tech,4.98,74.5,no,7.0,average,self-study,high,moderate,81.5
4086,22,other,b.com,3.05,48.2,yes,8.7,average,self-study,low,hard,43.3
17634,23,other,b.sc,4.36,47.6,yes,4.6,poor,self-study,low,hard,38.9
6831,21,other,b.sc,5.86,50.7,yes,5.0,average,online videos,medium,moderate,49.6
19104,17,male,b.tech,5.9,67.4,yes,6.6,average,group study,high,moderate,90.7
5681,18,other,ba,1.03,73.4,yes,9.2,good,mixed,medium,moderate,64.7
19653,23,male,b.sc,6.06,59.3,yes,6.5,average,coaching,low,hard,82.7
18282,20,other,diploma,2.45,77.0,yes,5.9,good,self-study,low,moderate,39.0
8717,22,male,diploma,1.07,57.0,yes,4.4,average,online videos,medium,moderate,48.4
7145,18,female,b.tech,5.54,59.3,yes,7.1,poor,coaching,low,moderate,63.2
5346,20,male,b.sc,5.29,48.1,yes,7.1,average,mixed,low,moderate,56.5
7729,18,male,bba,4.56,40.6,no,8.4,average,mixed,low,moderate,54.2
4562,20,male,bca,6.06,78.5,no,9.6,poor,group study,low,hard,76.4
9361,22,female,b.sc,1.84,52.8,yes,5.3,average,coaching,low,easy,49.7
15457,24,female,b.tech,3.72,80.2,yes,4.9,good,group study,high,moderate,77.0
11952,18,female,ba,7.34,82.9,yes,5.4,average,online videos,medium,easy,85.7
5192,24,other,b.sc,4.7,58.0,yes,4.9,poor,group study,low,hard,41.9
6612,17,male,bca,4.27,86.2,yes,9.8,good,online videos,medium,easy,59.6
2131,22,male,diploma,1.24,92.5,yes,7.3,average,coaching,low,easy,62.0
2174,23,other,ba,2.39,43.2,yes,8.7,poor,coaching,low,moderate,27.0
2537,19,male,b.com,7.14,99.0,yes,5.0,average,self-study,low,easy,69.8
2785,24,other,ba,4.45,64.4,no,8.6,poor,mixed,medium,moderate,64.9
12780,18,female,diploma,0.78,95.5,yes,5.7,good,group study,high,moderate,45.6
13560,22,male,b.tech,6.11,69.7,yes,5.5,poor,mixed,medium,moderate,64.6
4699,19,other,b.com,6.91,96.0,yes,4.6,poor,self-study,medium,easy,76.0
6133,24,male,b.tech,5.91,54.8,yes,7.2,average,self-study,low,moderate,77.7
16712,23,male,b.com,3.32,56.8,yes,9.0,poor,group study,low,moderate,37.9
14122,18,other,bca,4.62,60.7,yes,7.0,good,online videos,low,moderate,55.1
8858,18,female,diploma,1.54,47.9,yes,7.2,poor,self-study,medium,easy,19.599
12837,17,other,bca,0.51,69.1,no,4.1,average,mixed,medium,hard,29.2
19994,17,male,b.com,5.74,81.4,yes,7.5,good,online videos,high,hard,95.0
13477,18,other,ba,1.03,90.5,yes,8.4,poor,online videos,medium,hard,45.9
18346,17,male,ba,4.55,85.3,yes,9.2,average,online videos,low,moderate,62.2
2620,24,male,b.com,4.79,93.0,yes,8.7,poor,online videos,low,hard,64.6
16091,23,female,bca,3.28,46.7,yes,7.4,poor,mixed,low,moderate,42.3
14072,22,other,b.tech,6.99,79.8,no,9.3,good,group study,low,hard,88.1
3105,22,female,b.sc,1.3,96.4,yes,9.7,average,group study,low,moderate,30.9
3758,21,male,bca,4.9,75.6,no,7.9,good,mixed,medium,hard,93.7
8424,19,female,diploma,7.31,90.0,no,9.3,average,online videos,medium,easy,90.1
13574,20,female,b.tech,2.75,60.2,yes,4.5,poor,self-study,low,moderate,44.8
16360,20,other,diploma,6.08,88.4,yes,5.5,poor,mixed,high,hard,68.0
9536,21,female,diploma,4.38,65.4,yes,4.4,poor,group study,medium,hard,55.5
979,19,male,diploma,4.0,99.4,no,9.2,good,group study,medium,moderate,73.0
17811,22,female,diploma,6.53,78.4,no,7.8,good,coaching,high,hard,96.1
13206,19,male,diploma,7.4,44.2,yes,4.8,average,group study,medium,easy,56.6
8281,22,female,diploma,6.14,47.0,yes,8.2,average,coaching,medium,moderate,79.6
15339,22,female,bba,3.19,41.9,yes,7.5,good,group study,medium,hard,47.6
17679,21,other,bca,6.2,51.4,yes,7.8,average,coaching,medium,hard,50.3
1113,18,male,b.com,7.39,66.1,yes,8.9,average,self-study,high,easy,71.1
5542,18,female,b.com,4.6,85.1,yes,7.0,average,coaching,low,easy,79.2
