student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
16271,17,female,diploma,0.9412515964240102,0.1071428571428569,yes,0.0344827586206897,average,group study,low,moderate,71.4
1384,24,female,b.sc,0.6743295019157088,0.1190476190476189,yes,0.8620689655172412,poor,online videos,high,moderate,64.6
3473,22,male,bca,0.4406130268199233,0.2789115646258502,yes,0.1896551724137931,average,group study,high,moderate,60.7
19901,24,other,b.sc,0.6334610472541506,0.5714285714285714,yes,0.3620689655172414,poor,self-study,high,easy,57.3
2151,19,female,diploma,0.7445721583652618,0.9404761904761904,no,0.7758620689655172,poor,self-study,high,moderate,73.1
5503,17,male,b.com,0.1902937420178799,0.5595238095238093,yes,0.4310344827586206,poor,group study,high,easy,54.3
11336,24,other,bba,0.5108556832694764,0.5595238095238093,no,0.793103448275862,poor,mixed,high,hard,79.2
15217,20,male,diploma,0.8084291187739464,0.0289115646258502,yes,1.0,poor,mixed,low,hard,62.3
9712,24,female,bca,0.6883780332056194,0.6819727891156462,yes,0.103448275862069,good,mixed,low,moderate,58.6
2753,21,male,b.sc,0.4725415070242656,0.4200680272108841,yes,0.3965517241379311,average,coaching,low,easy,73.5
1713,24,male,bca,0.8301404853128991,0.6224489795918366,yes,0.3793103448275862,poor,group study,high,hard,70.9
13656,23,male,diploma,0.582375478927203,0.20578231292517,yes,0.2586206896551724,poor,self-study,high,moderate,64.4
14690,19,male,diploma,0.301404853128991,0.945578231292517,yes,0.9482758620689654,good,group study,medium,moderate,72.9
18180,20,female,diploma,0.0127713920817369,0.9183673469387752,yes,0.6206896551724138,average,online videos,medium,easy,42.0
11751,17,other,b.com,0.4227330779054917,0.3452380952380951,yes,0.8448275862068965,poor,online videos,medium,hard,62.4
16657,22,female,b.tech,0.3805874840357599,0.0238095238095237,yes,0.8620689655172412,good,mixed,high,easy,63.1
13349,22,other,b.tech,0.5632183908045977,0.2840136054421767,no,0.5517241379310344,poor,self-study,medium,hard,61.1
14130,20,other,diploma,0.8199233716475095,0.7653061224489794,yes,0.2931034482758621,good,self-study,high,moderate,85.5
14728,23,male,diploma,0.9808429118773946,0.3129251700680271,yes,0.1206896551724138,good,self-study,medium,easy,69.3
19674,18,other,bba,0.7905491698595146,0.6564625850340136,yes,0.7586206896551725,average,self-study,medium,hard,59.9
4526,20,female,bca,0.3767560664112388,0.7993197278911561,yes,0.0,good,coaching,high,moderate,51.1
170,17,female,diploma,0.6590038314176245,0.1870748299319727,yes,1.0,poor,group study,high,moderate,54.0
4673,18,male,b.com,0.4176245210727969,0.2465986394557822,yes,0.0689655172413793,average,coaching,high,moderate,56.9
6502,24,other,b.com,0.5312899106002554,0.1275510204081632,yes,0.2413793103448276,good,group study,medium,easy,35.4
2879,23,other,b.com,0.7790549169859514,0.0340136054421768,yes,0.4482758620689656,average,mixed,medium,moderate,66.5
6064,17,female,bca,0.5185185185185185,0.4149659863945576,yes,0.8965517241379312,average,coaching,medium,easy,59.0
17288,19,male,diploma,0.4482758620689655,0.8299319727891157,yes,0.8275862068965517,average,online videos,low,easy,59.3
11956,19,other,ba,0.974457215836526,0.4591836734693875,yes,0.7068965517241378,good,group study,medium,hard,88.1
10952,18,female,b.sc,0.9578544061302682,0.4370748299319726,yes,0.3793103448275862,poor,online videos,high,easy,69.0
10390,24,female,bca,0.7075351213282247,0.7295918367346936,no,0.879310344827586,poor,mixed,high,hard,87.9
13658,21,other,b.tech,0.91698595146871,0.1955782312925169,yes,0.1724137931034483,good,group study,high,moderate,64.2
6137,18,male,b.com,0.5504469987228607,0.1411564625850339,yes,0.0344827586206897,average,self-study,low,moderate,35.8
10302,22,male,b.sc,0.8033205619412516,0.1649659863945577,no,0.3965517241379311,average,self-study,high,moderate,85.5
5938,21,male,b.tech,0.6411238825031927,0.2159863945578229,yes,0.3965517241379311,poor,online videos,high,moderate,52.5
11885,23,male,ba,0.2681992337164751,0.6581632653061222,yes,0.8448275862068965,poor,coaching,low,easy,82.1
12295,22,male,bca,0.1315453384418902,0.9064625850340136,yes,0.7068965517241378,good,group study,low,moderate,56.9
3324,22,female,diploma,0.4878671775223499,0.1428571428571428,no,0.2068965517241379,poor,group study,high,easy,64.9
14830,22,female,diploma,0.4559386973180077,0.5170068027210883,yes,0.3275862068965517,good,coaching,medium,easy,70.3
3471,18,other,bca,0.4074074074074074,0.0765306122448978,yes,0.0,average,online videos,medium,moderate,50.2
13399,21,male,diploma,0.9655172413793104,0.1377551020408163,no,0.3620689655172414,poor,online videos,medium,moderate,68.5
12786,19,female,diploma,0.4878671775223499,0.1921768707482992,yes,0.7413793103448277,good,online videos,low,easy,52.2
16972,23,female,b.com,0.6309067688378033,0.1649659863945577,yes,0.724137931034483,average,coaching,high,moderate,73.6
10382,21,male,b.tech,0.578544061302682,0.3979591836734693,yes,0.3103448275862069,average,mixed,high,easy,73.5
18247,24,female,bba,0.3231162196679438,0.1343537414965985,yes,0.9655172413793102,average,self-study,medium,easy,34.4
5569,19,other,diploma,0.8454661558109834,0.6377551020408161,yes,0.0172413793103449,average,coaching,medium,hard,95.5
138,17,male,ba,0.4189016602809706,0.4081632653061222,no,0.3620689655172414,poor,mixed,medium,moderate,49.0
7030,24,male,b.tech,0.9872286079182632,0.9948979591836732,yes,0.879310344827586,good,group study,low,hard,86.4
9424,18,female,diploma,0.8429118773946359,0.0731292517006801,no,0.0689655172413793,good,coaching,low,easy,72.1
9842,20,female,b.tech,0.3703703703703704,0.1156462585034012,yes,0.1724137931034483,poor,self-study,medium,easy,51.4
5226,20,male,ba,0.7867177522349936,0.4370748299319726,yes,0.6034482758620688,poor,group study,low,easy,56.3
12713,19,female,bba,0.4355044699872286,0.6377551020408161,yes,0.2413793103448276,average,coaching,medium,moderate,69.7
9752,21,other,diploma,0.074074074074074,0.6411564625850339,yes,0.5344827586206896,good,coaching,high,hard,57.9
7766,22,female,b.tech,0.7369093231162196,0.5153061224489797,yes,0.8620689655172412,poor,mixed,high,moderate,68.3
8049,22,male,b.tech,0.1008939974457215,0.8928571428571426,yes,0.9655172413793102,average,self-study,medium,moderate,51.8
2141,22,other,b.com,0.4418901660280971,0.0085034013605441,yes,0.810344827586207,good,mixed,medium,hard,60.7
3001,23,other,b.tech,0.0332056194125159,0.1207482993197278,yes,0.1724137931034483,average,mixed,low,moderate,39.3
4739,19,female,b.com,0.5172413793103448,0.952380952380952,yes,0.5517241379310344,good,online videos,low,easy,73.5
19656,20,male,bca,0.1289910600255428,0.5612244897959182,no,0.793103448275862,poor,self-study,medium,easy,46.1
7949,21,other,b.tech,0.1787994891443167,0.3299319727891154,yes,0.1206896551724138,poor,coaching,low,easy,45.6
4442,19,other,b.com,0.9310344827586208,0.3010204081632651,no,0.2068965517241379,poor,group study,low,easy,64.1
7474,19,female,diploma,0.301404853128991,0.1564625850340134,yes,0.793103448275862,average,group study,high,moderate,36.2
6670,19,female,b.sc,0.5504469987228607,0.9353741496598638,yes,0.3448275862068964,good,group study,medium,moderate,74.4
6550,22,female,ba,0.6091954022988505,0.9302721088435372,yes,0.8620689655172412,good,coaching,medium,moderate,83.4
4353,21,female,ba,0.4495530012771392,0.9132653061224488,yes,0.5344827586206896,average,group study,low,hard,57.7
1398,22,other,diploma,0.1417624521072797,0.5544217687074828,yes,0.4482758620689656,good,coaching,high,hard,71.7
18872,21,other,diploma,0.1123882503192847,0.1241496598639454,yes,0.4482758620689656,good,online videos,low,moderate,28.4
2142,24,other,diploma,0.5185185185185185,0.6921768707482991,yes,0.2586206896551724,good,mixed,medium,easy,64.4
18514,21,male,b.sc,0.7879948914431673,0.954081632653061,yes,1.0,good,group study,low,easy,90.7
10964,17,male,b.tech,0.6871008939974457,0.4200680272108841,yes,0.7413793103448277,average,coaching,high,hard,92.5
11786,21,female,diploma,0.3856960408684547,0.6836734693877549,yes,0.9827586206896554,good,mixed,medium,easy,76.8
13605,19,other,diploma,0.3116219667943806,0.5646258503401358,yes,0.3275862068965517,good,group study,low,moderate,21.5
11814,22,female,b.tech,0.3793103448275862,0.1428571428571428,yes,0.4137931034482759,poor,coaching,low,hard,55.9
11851,20,female,b.tech,0.3243933588761175,0.1955782312925169,yes,0.1724137931034483,average,coaching,medium,easy,48.7
4615,21,male,b.tech,0.301404853128991,0.6904761904761905,yes,0.7758620689655172,average,self-study,medium,hard,60.8
16641,24,male,ba,0.5185185185185185,0.1122448979591836,no,0.4310344827586206,poor,coaching,medium,hard,73.8
19874,19,female,ba,0.8735632183908045,0.5391156462585032,yes,0.0517241379310345,good,group study,medium,easy,87.9
17697,23,male,b.com,0.0395913154533844,0.1241496598639454,yes,0.6724137931034483,average,online videos,high,easy,40.0
18706,19,other,bba,0.7803320561941252,0.6513605442176871,yes,0.3965517241379311,poor,group study,low,moderate,69.3
6836,23,female,ba,0.7330779054916986,0.1666666666666665,yes,0.793103448275862,good,coaching,medium,hard,90.9
11388,23,other,diploma,0.1123882503192847,0.2772108843537414,yes,0.5517241379310344,poor,online videos,high,hard,34.3
16504,18,male,bca,0.0140485312899106,0.6989795918367345,yes,0.0344827586206897,poor,coaching,medium,easy,48.6
2313,21,other,b.sc,0.1187739463601532,0.1020408163265305,yes,0.4655172413793104,average,mixed,high,easy,39.0
4198,17,other,diploma,0.1532567049808429,0.3537414965986394,yes,0.4482758620689656,average,mixed,high,moderate,53.5
13588,21,female,b.com,0.942528735632184,0.8690476190476188,yes,0.7586206896551725,poor,coaching,low,moderate,84.5
18465,23,other,b.com,0.491698595146871,0.6326530612244896,yes,0.5172413793103449,average,group study,medium,moderate,60.7
4829,24,male,bba,0.0842911877394635,0.357142857142857,yes,0.7586206896551725,average,self-study,medium,easy,31.8
5200,24,female,bba,0.756066411238825,0.1241496598639454,yes,0.8965517241379312,average,group study,high,easy,66.7
13028,23,other,b.com,0.611749680715198,0.7227891156462583,yes,0.793103448275862,good,group study,medium,hard,79.9
8543,20,other,b.tech,0.78544061302682,0.7755102040816326,yes,0.2241379310344828,good,coaching,medium,hard,100.0
6226,22,male,bba,0.2784163473818646,0.1275510204081632,yes,0.1206896551724138,poor,mixed,low,moderate,40.4
4389,19,female,b.sc,0.722860791826309,0.8367346938775508,yes,0.6551724137931035,good,mixed,low,moderate,84.4
11056,18,other,bba,0.1111111111111111,0.9183673469387752,no,0.4137931034482759,average,coaching,low,moderate,64.7
12455,18,female,diploma,0.0779054916985951,0.639455782312925,yes,0.6724137931034483,poor,online videos,medium,hard,28.0
19071,23,other,bba,0.1289910600255428,0.3724489795918366,yes,0.7758620689655172,average,group study,high,moderate,44.6
11678,20,other,b.com,0.51213282247765,0.3265306122448979,yes,0.7586206896551725,poor,coaching,medium,easy,74.0
12010,17,male,bba,0.4776500638569604,0.3214285714285714,yes,0.3793103448275862,poor,coaching,low,moderate,54.8
8087,22,female,b.com,0.2809706257982119,0.8605442176870748,yes,0.5000000000000001,poor,online videos,medium,easy,62.4
15995,20,other,b.sc,0.7343550446998722,0.5782312925170066,yes,0.3275862068965517,good,online videos,low,moderate,71.3
715,24,male,ba,0.0664112388250319,0.8418367346938773,yes,0.5344827586206896,good,self-study,high,moderate,50.4
5668,23,male,ba,0.6143039591315452,0.6377551020408161,yes,0.6379310344827586,average,coaching,medium,moderate,79.7
19993,20,other,bca,0.3652618135376756,0.8452380952380951,yes,0.0689655172413793,average,online videos,medium,moderate,56.7
12536,23,male,ba,0.2681992337164751,0.8197278911564623,yes,0.1896551724137931,average,coaching,medium,moderate,40.8
17300,22,male,b.sc,0.2911877394636015,0.9472789115646256,yes,0.086206896551724,poor,online videos,medium,moderate,41.7
12645,22,male,b.com,0.8837803320561941,0.4030612244897957,yes,0.879310344827586,poor,online videos,high,moderate,89.9
2677,24,female,ba,0.5031928480204342,0.2499999999999999,yes,0.2758620689655173,poor,mixed,high,moderate,58.4
16530,22,female,b.tech,0.247765006385696,0.1972789115646258,yes,0.3448275862068964,good,coaching,low,moderate,54.5
15552,20,male,diploma,0.7624521072796935,0.5238095238095237,no,0.8448275862068965,average,online videos,medium,easy,100.0
7,17,female,b.tech,0.1621966794380587,0.4829931972789114,yes,0.5689655172413793,average,online videos,high,hard,53.7
2911,17,female,bba,0.5925925925925926,0.921768707482993,yes,0.3620689655172414,poor,mixed,medium,moderate,59.2
5633,21,other,b.sc,0.0996168582375479,0.5153061224489797,yes,0.0,average,coaching,low,hard,39.2
11551,19,male,ba,0.3435504469987229,0.6156462585034013,yes,0.724137931034483,poor,coaching,high,moderate,48.8
8349,22,other,b.com,0.7867177522349936,0.3860544217687074,no,0.5344827586206896,good,group study,high,moderate,85.3
10581,22,other,bca,0.8071519795657727,0.8741496598639453,no,0.8275862068965517,average,mixed,low,moderate,73.1
2555,24,female,diploma,0.2592592592592592,0.7312925170068025,yes,0.5172413793103449,poor,online videos,high,moderate,25.9
4547,21,male,b.com,0.8084291187739464,0.1309523809523808,yes,0.6206896551724138,poor,coaching,high,easy,83.9
14413,21,male,diploma,0.8480204342273308,0.8265306122448979,yes,0.5689655172413793,poor,group study,low,moderate,78.7
15913,20,male,b.sc,0.6347381864623244,1.0,yes,0.1551724137931035,average,self-study,medium,moderate,66.6
9896,23,female,ba,0.7203065134099617,0.8367346938775508,yes,0.3103448275862069,average,online videos,medium,easy,75.5
10720,23,male,b.tech,0.7471264367816092,0.0119047619047617,yes,0.3620689655172414,average,group study,high,moderate,69.3
17386,17,other,b.tech,0.1417624521072797,0.704081632653061,yes,0.793103448275862,average,mixed,high,hard,48.4
17017,18,other,ba,0.3282247765006386,0.4047619047619046,no,0.4655172413793104,average,mixed,low,moderate,50.1
11936,19,male,ba,0.6462324393358876,0.4387755102040815,no,0.7413793103448277,average,coaching,low,moderate,66.3
16986,20,male,b.tech,0.491698595146871,0.4404761904761904,yes,0.4655172413793104,poor,mixed,medium,easy,56.2
1024,23,other,b.tech,0.6641123882503193,0.5544217687074828,yes,0.3103448275862069,average,mixed,high,moderate,97.8
19446,20,male,b.tech,0.454661558109834,0.8605442176870748,yes,0.5689655172413793,poor,self-study,high,easy,66.9
15484,20,other,ba,0.2068965517241379,0.2193877551020406,yes,0.7586206896551725,average,coaching,low,moderate,46.9
19398,18,male,ba,0.7011494252873564,0.9710884353741496,yes,0.0517241379310345,good,self-study,medium,moderate,78.5
2248,18,male,ba,0.0,0.302721088435374,yes,0.5862068965517241,good,mixed,low,easy,32.2
7286,23,female,diploma,0.8531289910600255,0.3809523809523809,yes,0.1206896551724138,good,self-study,low,moderate,63.5
13707,20,male,b.com,0.1328224776500638,0.6564625850340136,yes,0.7068965517241378,poor,group study,high,hard,53.7
11147,19,female,b.sc,0.1966794380587484,0.3316326530612243,yes,0.3965517241379311,good,coaching,high,hard,40.5
13056,17,male,bba,0.7292464878671775,0.7482993197278909,yes,0.2068965517241379,good,self-study,high,easy,70.7
11044,18,female,bca,0.6436781609195402,0.6547619047619044,yes,0.1379310344827587,good,online videos,low,easy,72.4
4280,23,other,b.com,0.6577266922094509,0.7091836734693875,yes,0.2413793103448276,average,mixed,low,hard,83.3
5360,19,female,bba,0.1877394636015326,0.7976190476190474,yes,0.7068965517241378,good,self-study,low,easy,57.7
8154,22,male,bba,0.8518518518518519,0.0,yes,0.689655172413793,poor,self-study,low,easy,72.1
6955,20,female,b.tech,0.545338441890166,0.1173469387755101,yes,0.793103448275862,average,mixed,medium,easy,59.4
11434,23,male,b.com,0.3856960408684547,0.6836734693877549,yes,0.8620689655172412,poor,mixed,low,easy,51.9
14477,23,female,ba,0.0779054916985951,0.9047619047619044,yes,0.0,poor,online videos,high,easy,21.3
14314,23,female,bca,0.9208173690932312,1.0,yes,0.5689655172413793,average,mixed,low,moderate,89.7
17811,22,female,diploma,0.8237547892720306,0.6428571428571428,no,0.6379310344827586,good,coaching,high,hard,96.1
9774,17,female,bba,0.2707535121328225,0.9829931972789114,yes,0.7586206896551725,good,online videos,high,easy,71.9
2112,22,other,b.com,0.9361430395913156,0.1513605442176869,yes,0.3103448275862069,average,online videos,medium,easy,75.9
2877,22,male,b.sc,0.8109833971902937,0.6020408163265305,yes,0.8620689655172412,average,mixed,low,easy,84.7
8507,20,female,b.tech,0.8710089399744573,0.7653061224489794,yes,0.5000000000000001,good,group study,medium,moderate,66.2
9730,22,male,b.com,0.7701149425287357,0.1751700680272108,yes,0.5344827586206896,good,self-study,low,moderate,56.4
3205,19,other,b.tech,0.1021711366538952,1.0,yes,0.3275862068965517,good,self-study,high,easy,57.8
4942,20,other,b.tech,0.1494252873563218,0.714285714285714,yes,0.724137931034483,average,online videos,medium,moderate,39.0
4464,22,other,b.com,0.8825031928480205,0.8265306122448979,yes,0.4482758620689656,good,coaching,high,easy,100.0
8125,23,female,ba,0.3550446998722861,0.4302721088435375,yes,0.5000000000000001,good,coaching,medium,moderate,66.5
13153,18,male,b.sc,0.6845466155810984,0.8588435374149657,no,0.1379310344827587,poor,coaching,medium,moderate,66.1
559,23,other,b.sc,0.2043422733077905,0.3758503401360544,yes,0.7758620689655172,average,online videos,low,hard,31.0
12288,22,other,ba,0.7982120051085568,0.3758503401360544,yes,0.6724137931034483,good,self-study,high,hard,68.3
3618,20,male,ba,0.1634738186462324,0.6156462585034013,yes,0.4482758620689656,poor,group study,high,moderate,39.5
5334,24,male,ba,0.9987228607918264,0.0850340136054421,yes,0.0517241379310345,average,self-study,high,moderate,70.3
13741,21,other,b.com,0.9987228607918264,0.0,no,0.5344827586206896,average,self-study,medium,easy,72.8
8478,21,female,bba,0.2056194125159642,0.5340136054421767,yes,0.8275862068965517,good,online videos,medium,moderate,54.3
4167,20,male,bca,0.8301404853128991,0.7295918367346936,yes,0.0689655172413793,good,online videos,medium,hard,81.1
18510,23,male,b.sc,0.5108556832694764,0.3333333333333332,yes,0.2586206896551724,good,group study,medium,moderate,43.6
12142,24,male,diploma,0.9118773946360152,0.1836734693877549,yes,0.1551724137931035,poor,online videos,medium,easy,65.8
7701,21,other,diploma,0.7841634738186462,0.921768707482993,yes,0.7586206896551725,average,mixed,high,moderate,91.1
5217,23,male,bca,0.9195402298850576,0.2738095238095237,yes,0.1206896551724138,good,coaching,medium,easy,96.9
6620,17,male,ba,0.9770114942528736,0.2431972789115645,yes,0.0517241379310345,poor,self-study,low,moderate,57.3
2797,23,female,ba,0.7701149425287357,0.9659863945578232,yes,0.810344827586207,good,online videos,low,moderate,83.4
15697,20,female,b.com,0.3729246487867177,0.7312925170068025,yes,0.4827586206896553,average,mixed,high,easy,72.7
12891,17,female,b.com,0.5083014048531289,0.4030612244897957,yes,0.4827586206896553,good,self-study,low,moderate,42.4
